route_id,service_id,trip_headsign,direction_id,shape_id,trip_id,wheelchair_accessible
PURPLE,holiday,Challaghatta,0,s626,t822,1
PURPLE,holiday,Challaghatta,0,s626,t824,1
PURPLE,holiday,Challaghatta,0,s626,t826,1
PURPLE,holiday,Challaghatta,0,s671,t671,1
PURPLE,holiday,Challaghatta,0,s697,t684,1
PURPLE,holiday,Challaghatta,0,s697,t697,1
PURPLE,holiday,Whitefield (Kadugodi),1,s332,t709,1
PURPLE,holiday,Whitefield (Kadugodi),1,s378,t621,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t571,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t573,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t575,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t577,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t579,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t581,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t583,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t585,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t587,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t589,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t591,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t593,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t595,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t597,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t599,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t601,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t603,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t605,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t607,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t610,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t612,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t614,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t616,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t618,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t620,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t623,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t625,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t627,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t629,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t631,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t633,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t635,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t637,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t639,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t641,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t643,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t645,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t646,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t648,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t650,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t652,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t654,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t656,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t658,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t660,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t662,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t664,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t666,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t668,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t670,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t672,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t674,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t676,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t678,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t680,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t682,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t685,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t687,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t689,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t691,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t693,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t695,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t698,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t700,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t702,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t704,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t706,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t708,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t711,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t713,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t715,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t717,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t719,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t721,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t723,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t725,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t727,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t729,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t731,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t734,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t736,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t738,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t740,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t742,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t744,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t746,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t748,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t750,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t752,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t754,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t756,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t758,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t760,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t762,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t764,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t767,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t769,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t771,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t773,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t775,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t777,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t779,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t781,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t783,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t785,1
PURPLE,holiday,Whitefield (Kadugodi),1,s560,t787,1
